column_name,source_status,source_reference,source_rule_summary,time_rule_and_boundary,variant_binding
audit_fee_log,generator_rule_recovered,A0004:L170-L184,"log1p(Tcost after numeric coercion and missing->0), retained on the selected audit record.",No provider-unit conversion shown; no anchoring to earliest filing.,candidate rule present; actual executed upstream patch not independently bound
audit_fee_to_assets,generator_rule_recovered,"A0004:L217-L254,L270-L282","Initialize missing; try one of total_assets/Tot_Assets/TotalAssets/assets/ta_log; if denominator exists and >0 take Tcost/asset, inverse log1p for ta_log. Missing later zero-filled.",Frozen-input audit reports the column is all zero; formula presence does not mean fee/asset ratio was populated.,candidate rule present; actual executed upstream patch not independently bound
audit_firm_change_flag,generator_rule_recovered,A0004:L192-L205,Compare Dadtunit with groupwise previous available firm-year record after selecting one record/year; set when predecessor nonmissing and strings differ.,Previous available record is not required to be exactly year-1.,candidate rule present; actual executed upstream patch not independently bound
audit_is_modified,generator_rule_recovered,"A0004:L152-L184,L270-L282",For retained audit records indicator(audit_type_code != 1); base rows without audit match get zero rather than a known unmodified opinion.,No-match and missing/unknown-code cases are not interchangeable; .astype(str) precedes encoding.,candidate rule present; actual executed upstream patch not independently bound
audit_type_code,generator_rule_recovered,"A0004:L71-L120,L141-L184; A0034:L71-L90","Heuristic Chinese Audittyp encoding; retain highest numeric code per firm/year. A0004 checks modifier/disclaimer terms and unqualified before qualified. Codes 8/9 are catch-all/missing, not a validated severity scale.",Accper year; no annual-report-anchor version filter; three encoder versions exist.,candidate rule present; actual executed upstream patch not independently bound
ctrl_data_missing_flag,generator_rule_recovered,A0007:L197-L207,"After base merge, indicator(ctrl_separation is missing), before numerical zero fill.","May indicate missing separation within an existing controller row, not just absence of any HLD_Contrshr row.",candidate rule present; actual executed upstream patch not independently bound
ctrl_no_controller_flag,generator_rule_recovered,A0007:L150-L157,"Indicator(S0701a==0 OR S0701b missing/blank), subject to available columns.","Heuristic variable definition, not independently adjudicated absence of a controller.",candidate rule present; actual executed upstream patch not independently bound
ctrl_ownership,generator_rule_recovered,"A0007:L123-L143,L197-L204",Use selected row S0704b; fill missing with zero after base alignment.,Provider-field semantic definition not independently recreated.,candidate rule present; actual executed upstream patch not independently bound
ctrl_separation,generator_rule_recovered,"A0007:L92-L115,L135-L139","Use first present of Seperation/Separation/separation. Only if the entire field is absent, fall back to S0704c-S0704b; not a per-row missing-value fallback.",Reptdt year; latest Reptdt then highest S0704c retained per firm/year.,candidate rule present; actual executed upstream patch not independently bound
ctrl_separation_p90_flag,generator_rule_recovered,"A0007:L71,L145-L148",Indicator(ctrl_separation >17.45); hard-coded threshold attributed by code comment to inventory.,Not recalculated on the eligible training sample; inventory population not verified.,candidate rule present; actual executed upstream patch not independently bound
ctrl_state_owned_flag,generator_rule_recovered,"A0007:L63-L69,L159-L171; A0032:L150-L165",A0032 matches Chinese state keywords against S0702b; patched A0007 instead matches 国资/国务院/国有资产/人民政府/财政部 against S0701b.,Different historical implementations; actual retained-value version not identified by choosing latest filename.,candidate rule present; actual executed upstream patch not independently bound
ctrl_voting,generator_rule_recovered,"A0007:L123-L143,L197-L204",Use selected row S0704c; fill missing with zero after base alignment.,Provider-field semantic definition not independently recreated.,candidate rule present; actual executed upstream patch not independently bound
pld_controller_max_ratio1,generator_rule_recovered,"A0006:L93-L94,L126-L134",Maximum Ratio1 among RelationtoCom matching 控股股东/实际控制人/控股/实控.,Matching is a string heuristic; missing final values filled with zero.,candidate rule present; actual executed upstream patch not independently bound
pld_high_pledge_flag,generator_rule_recovered,"A0006:L57,L133-L138",Indicator(controller maximum Ratio1 >=80 OR all-record maximum Ratio1 >=80).,Includes a non-controller fallback; not exclusively a controlling-shareholder flag.,candidate rule present; actual executed upstream patch not independently bound
pld_max_ratio2,generator_rule_recovered,"A0006:L77-L86,L117-L124",Annual maximum of numeric Ratio2.,DeclareDate calendar year; matches and nulls are subsequently zero-filled.,candidate rule present; actual executed upstream patch not independently bound
pld_n_change_events,generator_rule_recovered,"A0006:L104-L106,L140-L143; A0031:L138-L141",A0031 uses #new - #release; A0006 uses #new + #release. No record-exclusive category constraint is shown.,Two different historical definitions share one output name; do not silently select a variant.,candidate rule present; actual executed upstream patch not independently bound
pld_n_events,generator_rule_recovered,A0006:L117-L124,"Number of rows in the firm/year group (Ratio2 size), not count of nonmissing Ratio2 or proven unique events.",DeclareDate calendar year; upstream reader/dedup helper not in current export.,candidate rule present; actual executed upstream patch not independently bound
pld_n_securities_pledgee,generator_rule_recovered,"A0006:L53,L96-L102,L117-L124",Count rows where PledgeeCatergory OR Pledgee contains 证券/券商/证券公司.,Pledgee is the receiving counterparty; do not relabel as pledgor.,candidate rule present; actual executed upstream patch not independently bound
