column_name,block,source_status,source_reference,source_rule_summary,time_rule_and_boundary,binding_to_retained_values,new_feature_values_generated,variant_binding
audit_fee_log,audit_,generator_rule_recovered,A0004:L170-L184,"log1p(Tcost after numeric coercion and missing->0), retained on the selected audit record.",No provider-unit conversion shown; no anchoring to earliest filing.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
audit_fee_to_assets,audit_,generator_rule_recovered,"A0004:L217-L254,L270-L282","Initialize missing; try one of total_assets/Tot_Assets/TotalAssets/assets/ta_log; if denominator exists and >0 take Tcost/asset, inverse log1p for ta_log. Missing later zero-filled.",Frozen-input audit reports the column is all zero; formula presence does not mean fee/asset ratio was populated.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
audit_firm_change_flag,audit_,generator_rule_recovered,A0004:L192-L205,Compare Dadtunit with groupwise previous available firm-year record after selecting one record/year; set when predecessor nonmissing and strings differ.,Previous available record is not required to be exactly year-1.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
audit_is_modified,audit_,generator_rule_recovered,"A0004:L152-L184,L270-L282",For retained audit records indicator(audit_type_code != 1); base rows without audit match get zero rather than a known unmodified opinion.,No-match and missing/unknown-code cases are not interchangeable; .astype(str) precedes encoding.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
audit_type_code,audit_,generator_rule_recovered,"A0004:L71-L120,L141-L184; A0034:L71-L90","Heuristic Chinese Audittyp encoding; retain highest numeric code per firm/year. A0004 checks modifier/disclaimer terms and unqualified before qualified. Codes 8/9 are catch-all/missing, not a validated severity scale.",Accper year; no annual-report-anchor version filter; three encoder versions exist.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
ctrl_data_missing_flag,ctrl_,generator_rule_recovered,A0007:L197-L207,"After base merge, indicator(ctrl_separation is missing), before numerical zero fill.","May indicate missing separation within an existing controller row, not just absence of any HLD_Contrshr row.",not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
ctrl_no_controller_flag,ctrl_,generator_rule_recovered,A0007:L150-L157,"Indicator(S0701a==0 OR S0701b missing/blank), subject to available columns.","Heuristic variable definition, not independently adjudicated absence of a controller.",not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
ctrl_ownership,ctrl_,generator_rule_recovered,"A0007:L123-L143,L197-L204",Use selected row S0704b; fill missing with zero after base alignment.,Provider-field semantic definition not independently recreated.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
ctrl_separation,ctrl_,generator_rule_recovered,"A0007:L92-L115,L135-L139","Use first present of Seperation/Separation/separation. Only if the entire field is absent, fall back to S0704c-S0704b; not a per-row missing-value fallback.",Reptdt year; latest Reptdt then highest S0704c retained per firm/year.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
ctrl_separation_p90_flag,ctrl_,generator_rule_recovered,"A0007:L71,L145-L148",Indicator(ctrl_separation >17.45); hard-coded threshold attributed by code comment to inventory.,Not recalculated on the eligible training sample; inventory population not verified.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
