M11_order_1_based,column_name,prefix_block,documented_block,M5,M10,M11,M11_without_audit,legacy_dictionary_first_modality,legacy_dictionary_block,legacy_dictionary_dtype_reported,legacy_description_verbatim,upstream_zind_identifier,source_report_all_zero,formula_status,historical_asof_availability,block_annotation_basis,dictionary_identity_evidence
1,audit_fee_log,audit_,Audit-related disclosures,False,True,True,False,M10,Audit,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
2,audit_fee_to_assets,audit_,Audit-related disclosures,False,True,True,False,M10,Audit,float32,derived; see pipeline source for details,False,True,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
3,audit_firm_change_flag,audit_,Audit-related disclosures,False,True,True,False,M10,Audit,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
4,audit_is_modified,audit_,Audit-related disclosures,False,True,True,False,M10,Audit,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
5,audit_type_code,audit_,Audit-related disclosures,False,True,True,False,M10,Audit,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
6,ctrl_data_missing_flag,ctrl_,Controller disclosures,False,True,True,True,M10,Controller,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
7,ctrl_no_controller_flag,ctrl_,Controller disclosures,False,True,True,True,M10,Controller,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
8,ctrl_ownership,ctrl_,Controller disclosures,False,True,True,True,M10,Controller,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
9,ctrl_separation,ctrl_,Controller disclosures,False,True,True,True,M10,Controller,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
10,ctrl_separation_p90_flag,ctrl_,Controller disclosures,False,True,True,True,M10,Controller,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
11,ctrl_state_owned_flag,ctrl_,Controller disclosures,False,True,True,True,M10,Controller,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
12,ctrl_voting,ctrl_,Controller disclosures,False,True,True,True,M10,Controller,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
13,feat_t0_agreement_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
14,feat_t0_controller_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
15,feat_t0_dj_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
16,feat_t0_dj_ratio,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
17,feat_t0_increase_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
18,feat_t0_large_holder_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
19,feat_t0_mean_quarter_offset,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
20,feat_t0_monthly_hhi,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
21,feat_t0_n_reduces,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
22,feat_t0_pct5_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
23,feat_t0_q4_offset_share,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
24,feat_t0_q4_share,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
25,feat_t0_reduce_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
26,feat_t0_reduce_plan_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
27,feat_t0_reduce_progress_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
28,feat_t0_std_quarter_offset,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,True,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
29,feat_t0_total_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,M5,Insider,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
30,fin_dsri_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
31,fin_dsri_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
32,fin_dsri_t1,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
