M11_order_1_based,column_name,prefix_block,documented_block,M5,M10,M11,M11_without_audit,upstream_zind_identifier,source_report_all_zero,formula_verification,source
1,audit_fee_log,audit_,Audit-related disclosures,False,True,True,False,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
2,audit_fee_to_assets,audit_,Audit-related disclosures,False,True,True,False,False,True,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
3,audit_firm_change_flag,audit_,Audit-related disclosures,False,True,True,False,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
4,audit_is_modified,audit_,Audit-related disclosures,False,True,True,False,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
5,audit_type_code,audit_,Audit-related disclosures,False,True,True,False,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
6,ctrl_data_missing_flag,ctrl_,Controller disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
7,ctrl_no_controller_flag,ctrl_,Controller disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
8,ctrl_ownership,ctrl_,Controller disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
9,ctrl_separation,ctrl_,Controller disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
10,ctrl_separation_p90_flag,ctrl_,Controller disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
11,ctrl_state_owned_flag,ctrl_,Controller disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
12,ctrl_voting,ctrl_,Controller disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
13,feat_t0_agreement_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
14,feat_t0_controller_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
15,feat_t0_dj_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
16,feat_t0_dj_ratio,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
17,feat_t0_increase_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
18,feat_t0_large_holder_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
19,feat_t0_mean_quarter_offset,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
20,feat_t0_monthly_hhi,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
21,feat_t0_n_reduces,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
22,feat_t0_pct5_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
23,feat_t0_q4_offset_share,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
24,feat_t0_q4_share,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
